Card ID,Name,Card Number,Type,HP,Rarity,Artist,,Set Name,Set ID,Image,TCCGP ID,TCGP Variant,PF Variant
svp-195,Lillie's Clefairy ex,195,Pokemon,190,Promo,PLANETA Tsuji,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/628317_in_1000x1000.jpg,628317,Holofoil,Holofoil
svp-196,Charizard ex,196,Pokemon,330,Promo,5ban Graphics,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/641610_in_1000x1000.jpg,641610,Holofoil,Holofoil
svp-197,Koraidon ex,197,Pokemon,230,Promo,PLANETA Tsuji,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/634348_in_1000x1000.jpg,634348,Holofoil,Holofoil
svp-198,Zacian ex,198,Pokemon,220,Promo,PLANETA Mochizuki,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/632678_in_1000x1000.jpg,632678,Holofoil,Holofoil
svp-199,Zarude,199,Pokemon,120,Promo,Uninari,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/637662_in_1000x1000.jpg,637662,Holofoil,Cosmos Holofoil
svp-200,Eevee,200,Pokemon,60,Promo,Kariya,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/637077_in_1000x1000.jpg,637077,Holofoil,Cosmos Holofoil
svp-201,Zebstrika,201,Pokemon,120,Promo,Krgc,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/637669_in_1000x1000.jpg,637669,Holofoil,Cosmos Holofoil
svp-202,Kangaskhan ,202,Pokemon,130,Promo,Uta,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/637413_in_1000x1000.jpg,637413,Holofoil,Cosmos Holofoil
svp-204,Cynthia's Garchomp ex,204,Pokemon,330,Promo,PLANETA Igarashi,,Scarlet & Violet Black Star Promos,svp,https://assets.pkmn.gg/fit-in/600x836/filters:format(webp)/images/cards/svp/svp-204v574.webp?signature=7390833c5fdbe0fee097e1c3eb3d684d25272c34f295ad82947f17a526bae94d,637613,Holofoil,Holofoil
svp-205,Team Rocket's Mewtwo ex,205,Pokemon,280,Promo,aky CG Works,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/637617_in_1000x1000.jpg,637617,Holofoil,Holofoil
svp-206,Marnie’s Morpeko,206,Pokemon,70,Promo,Susumu Maeya,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/635456_in_1000x1000.jpg,635456,Holofoil,Holofoil
svp-207,Steven's Beldum,207,Pokemon,70,Promo,hncl,,Scarlet & Violet Black Star Promos,svp,https://assets.pkmn.gg/fit-in/600x836/filters:format(webp)/images/cards/svp/svp-207v182.png?signature=b1896123576b36dbe976b0f2716bdbfad3c1525ef72b229958c8f16afc46eedf,635457,Holofoil,Holofoil
svp-208,Victini,208,Pokemon,80,Promo,Amelicart,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/646169_in_1000x1000.jpg,646169,Holofoil,Holofoil
svp-209,Thundurus,209,Pokemon,120,Promo,hncl,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/644834_in_1000x1000.jpg,644833,Holofoil,Holofoil
svp-209,Thundurus,209,Pokemon,120,Promo,hncl,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/644834_in_1000x1000.jpg,644834,Holofoil,Pokemon Center Stamp
svp-210,Tornadus,210,Pokemon,120,Promo,Kouki Satou,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/644835_in_1000x1000.jpg,644835,Holofoil,Holofoil
svp-210,Tornadus,210,Pokemon,120,Promo,Kouki Satou,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/644835_in_1000x1000.jpg,644836,Holofoil,Pokemon Center Stamp
svp-213,Feraligatr,213,Pokemon,180,Promo,Acorviart,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/620104_in_1000x1000.jpg,620104,Normal,Normal
svp-214,Pikachu,214,Pokemon,60,Promo,Kazuki Minami,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/620106_in_1000x1000.jpg,620106,Normal,Normal
svp-215,Toxtricity ex,215,Pokemon,260,Promo,Anderson,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/620107_in_1000x1000.jpg,620107,Normal,Normal
svp-224,Paradise Resort,224,Trainer,,Promo,Naoki Saito,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/649232_in_1000x1000.jpg,649232,Normal,Normal
svp-224,Paradise Resort,224,Trainer,,Promo,Naoki Saito,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/649232_in_1000x1000.jpg,649234,Normal,Staff Stamp
svp-225,Pikachu,225,Pokemon,70,Promo,DOM,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/648631_in_1000x1000.jpg,648631,Normal,Stamp
svp-225,Pikachu,225,Pokemon,70,Promo,DOM,,Scarlet & Violet Black Star Promos,svp,https://tcgplayer-cdn.tcgplayer.com/product/648631_in_1000x1000.jpg,649940,Normal,League Stamp
